,company,title,zps,link,reqs
33,RALF RINGER,Аналитик данных,от 70 000 руб.,https://hh.ru/vacancy/79547429?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
34,ООО АЙТИ.СПЕЙС,Продуктовый аналитик,200 000 – 350 000 руб.,https://hh.ru/vacancy/78934518?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
35,Профи (profi.ru),Фуллстек аналитик (Финтех),300 000 – 390 000 руб.,https://hh.ru/vacancy/67773818?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
36,ООО Онлайн-школа Фоксфорд,Старший продуктовый аналитик в команду «Поиск заказов»,до 200 000 руб.,https://hh.ru/vacancy/78643554?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"релевантный опыт в продуктовой команде от 1 года;// SQL на высоком уровне (у нас PostgreSQL на продакшене и ClickHouse в DWH);// опыт работы с BI системами (Tableau, QlikView, Metabase).// понимание базовых бизнес-процессов в EdTech (или интерес к сфере и желание быстро вникнуть :));// умение аргументировано и понятно излагать свои мысли;// умение общаться на одном языке с бизнесом и разработкой."
37,FunBox,Продуктовый аналитик (EdTech) / middle+,до 250 000 руб.,https://hh.ru/vacancy/76904680?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Умение собирать требования с заказчика (как с внешнего, так и с внутреннего);// Умение формировать документацию от бизнес-требований до алгоритмов работы системы для передачи в разработку;// Умение проектировать решения исходя из минимальных/максимальных требований и их приоритета (MVP/пилоты/выделение этапности) и аргументировано обосновывать выбранное решение;// Умение выделять цели, задачи, потребителей разрабатываемой функциональности;// Умение писать непротиворечивую, полную и понятную документацию, достаточную для передачи в разработку;// Имеете опыт проектирования и описания интеграционных взаимодействий систем или модулей систем."
38,Prime Sport,Системный аналитик,100 000 – 120 000 руб.,https://hh.ru/vacancy/78963344?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Уверенный пользователь ПК (1С УТ, Excel, ВПР, свободные таблицы, инструменты прогнозирования, использование макросов, знание SQL);// Умение и желание работать в режиме многозадачности и с большими массивами данных;// Опыт работы не менее 2-х лет в аналогичной должности;// Английский, (не ниже среднего)"
39,Сбер для экспертов,Продуктовый Аналитик,от 204 284 руб.,https://hh.ru/vacancy/79225928?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
40,Профи (profi.ru),Бизнес-аналитик (аналитик данных),200 000 – 300 000 руб.,https://hh.ru/vacancy/76504024?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
41,SOAK,Продуктовый аналитик в кластер «Клиенты»,от 120 000 руб.,https://hh.ru/vacancy/78837221?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
42,Технолайт,Маркетолог-аналитик,от 130 000 руб.,https://hh.ru/vacancy/79595543?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
43,Enjoypro,Маркетолог-аналитик,180 000 – 250 000 руб.,https://hh.ru/vacancy/78565381?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
44,Доктор на работе,Системный аналитик,60 000 – 80 000 руб.,https://hh.ru/vacancy/78821677?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
45,Группа компаний РБЕ (RBE Group),Аналитик\продакт-менеджер,до 120 000 руб.,https://hh.ru/vacancy/77762862?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Комплексная аналитика в сфере B2B/B2G/B2C (отраслевая, продуктовая, техническая, потребительская, конкурентная).// Мониторинг и систематизация данных из государственной системы промышленности, Росстата, специализированных отраслевых источников, ЕИС и тендерных площадок.// Проведение исследований рынка, анализ конкурентов.// Формирование и сопровождение информационных баз данных, витрин данных, управленческих и аналитических отчетов.// Подготовка информационно-аналитических и презентационных материалов.// Участие в автоматизации процессов.// Создание отчетов, дашбордов, презентация результатов анализа.// Подготовка регулярных и ad-hoc аналитических отчетов."
46,Frank RG,Аналитик,от 80 000 руб.,https://hh.ru/vacancy/77814774?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Собирать и структурировать данные (качественные и количественные);// Создавать расчетные Excel-модели по заданным вводным, оценивать рынок и рассчитывать ключевые показатели;// Участвовать во встречах с экспертами банковского рынка, помогать в написании обобщающих выводов по итогам интервью;// Участвовать в подготовке отчетов в формате PowerPoint по результатам проведенной исследовательской работы;// Вести коммуникации с клиентами."
47,ООО Автомакон,Аналитик,до 250 000 руб.,https://hh.ru/vacancy/78759238?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,высшее образование;// опыт ведения проектов от 5 лет в качестве бизнес - аналитика \ функционального архитектора;// видение как должен выглядеть курс для обучения и развития бизнес - аналитиков;// умение обучать и наличие такого опыта;// знание типовых продуктов 1С;// знание основных нотаций для описания бизнес-процессов;// знание языка запросов (1С или T-SQL) для выборки данных из таблиц и их анализа;// умение пользоваться Excel;// наличие академических знаний по специальности;// прочтено несколько книг по специализации;// постоянное развитие и чтение профессиональной литературы;// наличие лидерских качеств;// грамотная речь;// ответственность и пунктуальность.
48,Social Media Holding,Преподаватель – бизнес-аналитик,до 120 000 руб.,https://hh.ru/vacancy/78726950?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Удаленная работа 5/2 (гибкое начало/конец дня);// Разработка инновационного бизнес-продукта;// Вовлеченная команда друзей;// Активнейший профессиональный (горизонтальный и вертикальный) и финансовый (зп + премии) рост!// Поехать с командой на Бали - наша история!// Минимум бюрократии, движовая команда и возможность воплощать решения и задумки"
49,Виноградова Oльга Вячеславовна,BI аналитик,100 000 – 200 000 руб.,https://hh.ru/vacancy/79356873?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
